"type","name","label","minLength","maxLength","value","options"
"divider","hydraulic_jack","Домкрат гидравлический",,,,
"field_text","carrying","Грузоподъемность, тc",,"30",,
"field_text","stock_stroke","Ход штока, мм",,"30",,
"field_select","stock_return_type","Возврат штока",,,,"Пружинный=Пружинный\r\nГидравлический=Гидравлический\r\nГравитационный=Гравитационный"
"field_select","material","Материал",,,,"Сталь=Сталь\r\nАлюминий=Алюминий"
"field_text","working_pressure","Рабочее давление, Мпа",,"30",,
"field_text","thread_the_inlet_hole","Резьба подводящего отверстия",,"30",,
"field_text","case_diameter","Диаметр корпуса, мм",,"30",,
"field_text","the_height_of_the_jack_with_support","Высота домкрата с опорой, мм",,"30",,
"field_text","external_thread_on_the_body","Резьба наружная на корпусе",,"30",,
"field_text","number_of_holes_in_the_bottom","Количество отверстий в дне",,"30",,
"field_text","thread_in_the_bottom","Резьба в дне, мм",,"30",,
"field_text","thread_in_stock","Резьба в штоке, мм",,"30",,
"field_text","thread_on_the_rod","Резьба на штоке, мм",,"30",,
"field_select","support_on_the_rod","Опора на штоке",,,,"Плавающая=Плавающая\r\nРифленная=Рифленная\r\nНет=Нет"
"field_text","number_of_spacers","Количество проставок",,"30",,
"field_text","spacer_height","Высота проставок, мм",,"30",,
"field_checkbox","the_presence_of_a_locking_nut_on_the_rod","Наличие фиксирующей гайки на штоке",,,"Да",
"field_text","the_number_of_stocks","Количество штоков",,"30",,
"field_text","diameter_of_the_hole_in_the_rod","Диаметр отверстия в штоке,мм",,"30",,
"field_select","operating_mode","Режим работы",,,,"Кратковременный=Кратковременный\r\nПродолжительный=Продолжительный"
"field_select","climatic_performance","Климатическое исполнение (ГОСТ 15150-69)",,,,"У=У\r\nУХЛ=УХЛ\r\nХЛ=ХЛ\r\nТВ=ТВ\r\nТС=ТС\r\nТ=Т\r\nО=О\r\nМ=М"
"field_select","product_cat","Категория изделия (ГОСТ 15150-69)",,,,"1=1\r\n1,1=1,1\r\n2=2\r\n2,1=2,1\r\n3=3\r\n3,1=3,1\r\n4=4\r\n4,1=4,1\r\n4,2=4,2\r\n5=5\r\n5,1=5,1"
"field_textarea","comments_to_the_order","Коментарии к заказу","5","1500",,
"field_file","attachment","Прикрепить файл",,,,
