"type","name","label","minLength","maxLength","value","options"
"divider","mechanical_jack","Домкрат механический",,,,
"field_text","carrying","Грузоподъемность, тc",,"30",,
"field_text","lifting_height","Высота подъема, мм",,"30",,
"field_text","jack_height","Высота домкрата, мм",,"30",,
"field_select","material","Материал",,,,"Сталь=Сталь\r\nАлюминий=Алюминий"
"field_select","operating_mode","Режим работы",,,,"Кратковременный=Кратковременный\r\nПродолжительный=Продолжительный"
"field_select","climatic_performance","Климатическое исполнение (ГОСТ 15150-69)",,,,"У=У\r\nУХЛ=УХЛ\r\nХЛ=ХЛ\r\nТВ=ТВ\r\nТС=ТС\r\nТ=Т\r\nО=О\r\nМ=М"
"field_select","product_cat","Категория изделия (ГОСТ 15150-69)",,,,"1=1\r\n1,1=1,1\r\n2=2\r\n2,1=2,1\r\n3=3\r\n3,1=3,1\r\n4=4\r\n4,1=4,1\r\n4,2=4,2\r\n5=5\r\n5,1=5,1"
"field_textarea","comments_to_the_order","Коментарии к заказу","5","1500",,
"field_file","attachment","Прикрепить файл",,,,
